"%s","%s"
"ACL Attribute Rules","ACL Taito säännöt"
"The ""use_config_backorders"" field must be set to 0 or 1.","""Use_config_backorders"" kenttään on asetettava 0 tai 1."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","""Use_config_enable_qty_inc"" kenttään on asetettava 0 tai 1."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","""Use_config_manage_stock"" kenttään on asetettava 0 tai 1."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","""Use_config_max_sale_qty"" kenttään on asetettava 0 tai 1."
"The ""use_config_min_qty"" field must be set to 0 or 1.","""Use_config_min_qty"" kenttään on asetettava 0 tai 1."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","""Use_config_min_sale_qty"" kenttään on asetettava 0 tai 1."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","""Use_config_notify_stock_qty"" kenttään on asetettava 0 tai 1."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","""Use_config_qty_increments"" kenttään on asetettava 0 tai 1."
"The attribute rules were saved.","Määrite säännöt pelastuivat."
"The role has been saved.","Rooli on tallennettu."
"The role is a special one and not for assigning it to admin users.","Rooli onerikoinen eikä määrittämällä se admin käyttäjille."
"Total Due","Total Due"
"Total Paid","Maksettu yhteensä"
"Total Refunded","Yhteensä palautukset"
"Total Reviews Count","Total Arviot Count"
"Type","Type"
"URL","URL"
"Update","Update"
"Use Config Settings for Allow Gift Message","Käytä Config asetukset Salli Gift Message"
"Use Config Settings for Allow Gift Wrapping","Käytä Config asetukset Salli lahjapaketointi"
"Use Config Settings for Backorders","Käytä Config asetukset Jälkitoimitukset"
"Use Config Settings for Enable Qty Increments","Käytä Config asetukset Ota Määrä lisäykset"
"Use Config Settings for Manage Stock","Käytä Config asetukset Hallitse Stock"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Käytä Config asetukset maksimaalisen Määrä Sallittu ostoskori"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Käytä Config asetukset Minimi Määrä Sallittu ostoskori"
"Use Config Settings for Notify for Quantity Below","Käytä Config asetukset Muistuta varten Määrä Below"
"Use Config Settings for Qty Increments","Käytä Config asetukset Määrä lisäykset"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Käytä Config asetukset Määrä momentille n tilanne tulla loppu varastosta"
"User Type","Käyttäjä Type"
"User type ""%s"" no longer exists","Käyttäjä tyyppi ""%s"" ei ole enää olemassa"
"User type ""%s"" not found.","Käyttäjä tyyppi ""%s"" ei löydy ."
"Web Services","Web Services"
"Web services","Web-palvelut"
"Write","Kirjoita"
"ZIP/Postal Code","ZIP / Postal Code"
