"%s","%s"
"ACL Attribute Rules","Reglas ACL atributo"
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Por favor, utilice sólo números en ""qty_increments"" de campo. Por favor, evite espacios u otros caracteres , tales como puntos o comas."
"Position","Posición"
"Price","Precio"
"Price Including Tax","Precio con impuestos incluidos"
"Product","Producto"
"Product Category","Categoría de producto"
"Product ID","Identificación del producto"
"Product Image","La imagen del producto"
"Product Type","Tipo de producto"
"Product URL","URL del producto"
"Product Website","Sitio Web del producto"
"Product and Custom Options Name","Y opciones personalizadas Name"
"Qty","Cantidad"
"Qty Increments","Cantidad Incrementos"
"Qty Uses Decimals","Cantidad Usos decimales"
"Qty for Item's Status to Become Out of Stock","Cantidad de Estado del articulo convertirse Fuera de Stock"
"REST - Attributes","REST - Atributos"
"REST - Roles","REST - Roles"
"REST ACL Attributes","RESTO ACL atributos"
"REST Attributes","RESTO atributos"
"REST Role","El papel RESTO"
"REST Roles","Roles de descanso"
"REST Roles Information","DESCANSAR Clases Informacion"
"Read","Leer"
"Refunded Qty","Reembolsado Cantidad"
"Regular Price With Tax","Precio regular con el impuesto"
"Regular Price Without Tax","Precio regular sin impuestos"
"Rest Roles","Descanse Roles"
"Retrieve","Recuperar"
"Role ""%s"" no longer exists","Papel ""%s"" ya no existe"
"Role ""%s"" not found.","Papel ""%s"" no se encuentra."
"Role API Resources","Recursos API Papel"
"Role Info","Info Papel"
"Role Information","Información de Papel"
"Role Name","Nombre de función"
"Role Users","Usuarios de rol"
"Role has been deleted.","El papel se ha eliminado."
"Roles","Roles"
"SKU","SKU"
"Salability Status","Estado de la posibilidad de venta"
"Sales","Ventas"
"Save","Guardar"
"Shipped Qty","Cantidad Enviado"
"Shipping Amount","Cantidad de envío"
"Shipping Discount","Descuento del envío"
"Shipping Including Tax","Envío incluyendo el impuesto"
"Shipping Method","Método de envío"
"Shipping Tax","Impuesto"
"State","Estado"
"Stock Availability","Disponibilidad de stock"
"Stock ID","Stock ID"
"Stock Item","Stock Item"
"Stock Status","Estado del Stock"
"Store Currency to Order Currency Rate","Store Moneda de pedido de divisa"
"Store Name","Nombre de la tienda"
"Street","Street"
"Subtotal","Subtotal"
"Subtotal Including Tax","Subtotal incluyendo impuesto"
"System","Sistema"
"Tax Amount","Total de impuestos"
"Tax Name","Nombre de impuestos"
"Tax Percent","Porcentaje de Impuestos"
"Tax Rate","Tasa de impuestos"
"The ""enable_qty_increments"" field must be set to 0 or 1.","Los ""enable_qty_increments"" campo deberá ser fijado a 0 o 1 ."
"The ""is_decimal_divided"" field must be set to 0 or 1.","El ""is_decimal_divided"" campo debe ser fijado a 0 o 1 ."
"The ""is_in_stock"" field must be set to 0 or 1.","El ""is_in_stock"" campo debe ser fijado a 0 o 1 ."
"The ""is_qty_decimal"" field must be set to 0 or 1.","El ""is_qty_decimal"" campo debe ser fijado a 0 o 1 ."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","El ""is_qty_decimal"" campo debe establecerse en 0 , 1 ó 2 ."
"The ""manage_stock"" field must be set to 0 or 1.","El ""manage_stock"" campo debe ser fijado a 0 o 1 ."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","El ""stock_status_changed_auto"" campo debe ser fijado a 0 o 1 ."
"The ""use_config_backorders"" field must be set to 0 or 1.","Los ""use_config_backorders"" campo deberá ser fijado a 0 o 1 ."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","El ""use_config_enable_qty_inc"" campo debe ser fijado a 0 o 1 ."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","El ""use_config_manage_stock"" campo debe ser fijado a 0 o 1 ."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","El ""use_config_max_sale_qty"" campo debe ser fijado a 0 o 1 ."
"The ""use_config_min_qty"" field must be set to 0 or 1.","El ""use_config_min_qty"" campo debe ser fijado a 0 o 1 ."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","El ""use_config_min_sale_qty"" campo debe ser fijado a 0 o 1 ."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","El ""use_config_notify_stock_qty"" campo debe ser fijado a 0 o 1 ."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","Los ""use_config_qty_increments"" campo deberá ser fijado a 0 o 1 ."
"The attribute rules were saved.","Se salvaron Las reglas de atributos."
"The role has been saved.","El papel se ha guardado."
"The role is a special one and not for assigning it to admin users.","El papel es especial y no para asignarlo a los usuarios administradores ."
"Total Due","Total Due"
"Total Paid","Total Paid"
"Total Refunded","Total devolvemos su dinero"
"Total Reviews Count","Evaluaciones completas Count"
"Type","Tipo"
"URL","URL"
"Update","Update"
"Use Config Settings for Allow Gift Message","Usar configuración de configuración de Permitir mensajes de regalos"
"Use Config Settings for Allow Gift Wrapping","Usar configuración de configuración para permitir la Envoltura de regalo"
"Use Config Settings for Backorders","Usar configuración de configuración para pedidos pendientes"
"Use Config Settings for Enable Qty Increments","Usar configuración de configuración para Habilitar Cantidad Incrementos"
"Use Config Settings for Manage Stock","Usar configuración de configuración para Administrar Stock"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Usar configuración de configuración para máxima Cantidad mascotas en Compras"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Usar configuración de configuración para Cantidad mínima permitida en la cesta de compra"
"Use Config Settings for Notify for Quantity Below","Usar configuración de configuración para Notify para Cantidad Below"
"Use Config Settings for Qty Increments","Usar configuración de configuración para Cant. Incrementos"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Usar configuración de configuración para Cantidad de Estado del articulo para convertirse Fuera de Stock"
"User Type","Tipo de usuario"
"User type ""%s"" no longer exists","Tipo de usuario ""%s"" ya no existe"
"User type ""%s"" not found.","Tipo de usuario ""%s"" no se encuentra."
"Web Services","Servicios Web"
"Web services","Servicios Web"
"Write","Escribir"
"ZIP/Postal Code","ZIP / Código Postal"
