" and ","y"
"Card Verification Number","Tarjeta del número de Verificación"
"Catalog","catálogo"
"Channel","canal"
"Channel:","Canal:"
"Choose Store View","Selecciona Store View"
"Client Session timeout (sec.)","Tiempo de espera de sesión de cliente ( seg.)"
"Close","cerca"
"Comments History","Comentarios Historia"
"Confirmed email:","Email Confirmado:"
"Connect with the Magento Community","Conéctate con la Comunidad Magento"
"Contents","contenido"
"Country:","País:"
"Create a backup","Crear una copia de seguridad"
"Create New Staging Store View","Crear nueva estadificación tienda Ver"
"Created <strong>%s</strong> items","Creado <strong> %s < / strong > artículos"
"Credit Card Number","Número de Tarjeta de Crédito"
"Credit Card Number: xxxx-%s","Número de Tarjeta de Crédito: xxxx- %s"
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Card Type: %s","Tipo de Tarjeta de Crédito: %s"
"Credit Memo History","Nota de Crédito Historia"
"Credit Memo Totals","Totales nota de crédito"
"critical","crítico"
"CSV / Tab separated","CSV / Tab separados"
"Current Configuration Scope:","Alcance de configuración actual:"
"Current Release Information","Información de la licencia actual"
"Custom","costumbre"
"Customer Group:","Grupo de clientes:"
"Customer Since:","Cliente desde:"
"Customers","Clientes"
"Dashboard","salpicadero"
"Data Format","Formato de datos"
"Data transfer:","La transferencia de datos :"
"Date selection:","Fecha de selección :"
"Date selector","selector de Fecha"
"Date:","Fecha:"
"Decimal separator:","Separador decimal :"
"Default (Admin) Values","Predeterminado (admin ) Valores"
"Default Values","Valores por defecto"
"Delete","borrar"
"Dependencies","dependencias"
"Description:","Descripción :"
"DHTML Date/Time Selector","DHTML Fecha Selector / Tiempo"
"Direction:","Dirección :"
"Display %s first","Pantalla %s primero"
"Distributed under GNU LGPL. See %s for details.","Distribuido bajo licencia GNU LGPL. Vea %s para más detalles."
"Done by:","Hecho por:"
"Done By:","Por Hecho :"
"Download Remote File","Descarga de archivos remotos"
"Drag to move","Arrastre para mover"
"Edit Role","Editar rol"
"Edit User '%s'","Editar usuario '%s '"
"Email","Email"
"Email Preview","Email Prevista"
"Email:","Email:"
"Enclose Values In:","Ponga los valores entre :"
"Entity type:","Tipo de Entidad:"
"Excl. Tax","Excl. impuesto"
"Exclude","excluir"
"Expiration Date","fecha de expiración"
"Expiration Date: %s/%s","Fecha de Vencimiento :%s / %s"
"Export","exportación"
"Export Filters","Exportar los filtros"
"Export to:","Exportar a :"
"Export:","exportación:"
"Extension","extensión"
"Extensions","Extensiones"
"Field Mapping","Asignación de campos"
"File Information","Información sobre archivos"
"File name:","Nombre de archivo :"
"Final Price","Precio Final"
"Finished items creation.","Terminado creación artículos."
"First Name:","Nombre :"
"For latest version visit: %s","Para obtener la última versión de la visita :%s"
"From","desde"
"FTP Host[:Port]","FTP Host [: puerto]"
"General Settings","Configuración general"
"Get help for this page","Obtener ayuda para esta página"
"Global Record Search","Global Record Search"
"Go Today","Ir Hoy"
"Google Base Items","Los productos que Google Base"
"Group:","Grupo :"
"Help Us Keep Magento Healthy - Report All Bugs","Ayúdenos a mantener saludable a Magento - Informar todos los errores"
"Ignore","pasar por alto"
"Images","Imágenes"
"images/logo.gif","images / logo.gif"
"Import","importación"
"Import Service","Servicio de importación"
"In Database:","En Base de datos:"
"In File:","En archivo:"
"Inactive","inactivo"
"Incl. Tax","Incl. impuesto"
"Include","incluir"
"Installed As","instalado como"
"Interactive","interactivo"
"Interface Locale: %s","Locale interfaz: %s"
"Invalid webservice adapter specified","Adaptador servicio web especificado no es válido"
"Invalid webservice handler specified","Manejador webservice no válido"
"Invoice History","Historia de la factura"
"Invoice Totals","totales de las facturas"
"Issue Number","Edición"
"Issuer: %s","Emisor :%s"
"items selected","elementos seleccionados"
"Items to merge","Artículos para fusionar"
"Last 5 Orders","Últimos 5 Órdenes"
"Last 5 Search Terms","Últimos 5 Términos de búsqueda"
"Last Logged In (%s):","Última apertura de sesión (%s ) :"
"Last Logged In:","Última sesión:"
"Last Name:","Apellido:"
"Latest Message:","Mensaje Novedades :"
"Leave empty to use tax identifier","Dejar en blanco para usar el identificador de impuestos"
"Level","nivel"
"License:","Licencia :"
"Loading...","Loading ..."
"Local Server","servidor local"
"Local/Remote Server","Local / remota del servidor"
"Log Out","finalizar la sesión"
"Logged in as %s","Conectado como %s"
"Magento Core Api","Magento Core Api"
"Magento Core Api Section","Sección Magento Core Api"
"Magento Logo","Magento Logo"
"Magento ver. %s","Ver Magento . %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento ™ es una marca comercial de Irubin Consulting Inc. DBA Varien . <br/> Copyright © %s Irubin Consulting Inc."
"Maintainers","Mantenedores"
"major","mayor"
"Manage Stores","Gestione Tiendas"
"Mapping Configuration","Configuración de Mapeo"
"Max","Max"
"md5sum","md5sum"
"Merge Now","Combinar Ahora"
"Min","min"
"minor","menor"
"Module version conflict!","Conflicto de versión del módulo !"
"MS Excel XML","MS Excel XML"
"N/A","N / A"
"Name","nombre"
"Name on Card","Nombre en la tarjeta"
"Name on the Card: %s","Nombre en la tarjeta: %s"
"Name:","Nombre:"
"Next month (hold for menu)","Mes siguiente ( Presione para menu )"
"Next page","página siguiente"
"Next year (hold for menu)","El próximo año (mantener para menú )"
"No","no"
"No Data Found","No se encontraron datos"
"No search keywords.","No hay palabras clave de búsqueda."
"Note:","Nota:"
"Notes:","Notas:"
"notice","aviso"
"Number of records:","Número de registros :"
"of %s pages","de páginas %s"
"Old rate:","Antigua tasa :"
"Only mapped fields","Sólo los campos asignados"
"or","o"
"Order confirmation email not sent","Solicitar confirmación de correo electrónico no se envía"
"Order confirmation email sent","Correo electrónico de confirmación del pedido enviada"
"Order Totals","totales de la orden"
"Original Magento attribute names in first row:","Original Magento nombres de atributo en primera fila :"
"Package","paquete"
"Package Information","Información del paquete"
"Packages","Paquetes"
"Page","página"
"Passive mode","modo pasivo"
"Password","contraseña"
"Path","camino"
"Path:","Ruta de acceso:"
"PayPal Email","PayPal Email"
"per page","por página"
"Personal Information","Información Personal"
"Phone:","Teléfono:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor, confirme conmutación sitio. Se perderán todos los datos que no se han guardado."
"Please enter 6 or more characters.","Por favor, ingrese 6 o más caracteres."
"Please enter a number greater than 0 in this field.","Por favor, introduzca un número mayor que 0 en este campo ."
"Please enter a valid $ amount. For example $100.00.","Por favor, ingrese una cantidad válida $ . Por ejemplo, $ 100.00."
"Please enter a valid credit card number.","Por favor, introduzca un número de tarjeta de crédito válida ."
"Please enter a valid date.","Por favor, introduzca una fecha válida."
"Please enter a valid email address. For example johndoe@domain.com.","Por favor, introduce una dirección de correo electrónico válida. Por ejemplo johndoe@domain.com ."
"Please enter a valid number in this field.","Por favor, introduzca un número válido en este campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor, introduzca un número de teléfono válido . Por ejemplo (123) 456-7890 o 123-456-7890 ."
"Please enter a valid social security number. For example 123-45-6789.","Por favor, introduzca un número de seguro social válido . Por ejemplo 123-45-6789 ."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor, introduzca una URL válida. Por ejemplo http://www.example.com o www.example.com"
"Please enter a valid URL. http:// is required","Por favor, introduzca una URL válida. http:// se requiere"
"Please enter a valid value from list","Por favor, introduzca un valor válido de la lista"
"Please enter a valid value, ex: 10,20,30","Por favor, introduzca un valor válido , por ejemplo: 10,20,30"
"Please enter a valid zip code.","Introduce un código postal válido ."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Introduce un código postal válido . Por ejemplo 90602 o 90602-1234 ."
"Please enter valid password.","Por favor ingrese una contraseña válida ."
"Please make sure that your changes were saved before running the profile.","Por favor, asegúrese de que los cambios se guardan antes de ejecutar el perfil."
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coinciden ."
"Please select an option.","Por favor seleccione una opción."
"Please select one of the above options.","Por favor seleccione una de las opciones anteriores."
"Please select one of the options.","Por favor seleccione una de las opciones."
"Please select State/Province.","Por favor, seleccione Estado / Provincia ."
"Please use in this field only ""a-z,0-9,_"".","Utilice en este campo sólo "" a-z ,0 -9, _""."
"Please use letters only (a-z) in this field.","Por favor, use sólo letras (a- z) en este campo."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Por favor, use sólo números en este campo. por favor, evite espacios u otros caracteres tales como puntos o comas."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor, use sólo letras (az) y números (0-9) sólo en este campo. No se permiten espacios u otros caracteres."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Por favor, use sólo letras (az) y números ( 0-9 ) o espacios y # sólo en este campo."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor, utilice este formato de fecha : dd / mm / aaaa. Por ejemplo 17/03/2006 para el 17 de marzo de 2006."
"Please wait, loading...","Por favor espere , cargando ..."
"Please, select a store view","Por favor , seleccione una vista store"
"Prev. month (hold for menu)","Anterior . mes (mantener para menú )"
"Prev. year (hold for menu)","Anterior . año (mantener para menú )"
"Previous page","página anterior"
"Price","precio"
"Price:","Precio:"
"Primary Billing Address","Primaria Dirección de Facturación"
"Processed <strong>%s%% %s/%d</strong> items","Procesado <strong> %s %%%s /%d < / strong > artículos"
"Product","producto"
"Products","Productos"
"Profile Information","Información del perfil"
"Provided Files","Siempre Archivos"
"Qty","Cantidad"
"Read details","Lee los detalles"
"Recommended","recomendado"
"Remote FTP","FTP remoto"
"Remote URL:","URL remota:"
"Remove","eliminar"
"Resource Access","acceso a recursos"
"Resources","Recursos"
"Role","papel"
"Role Users","Usuarios de rol"
"Roles","Roles"
"Roles Resources","Roles Recursos"
"Schedule Merge","Horario Merge"
"Select All","Seleccionar todo"
"Select date","Seleccione una fecha"
"Select Date","Seleccione una fecha"
"Select Range","Seleccionar el rango de"
"Select Visible","Seleccione Visible"
"Select website from map","Seleccione una página web desde el mapa"
"Select website to map","Seleccione el sitio web para mapear"
"Shipment Comments","envío Comentarios"
"Shipment History","Historial de envíos"
"Shipping Address","Dirección de envío"
"Shipping address selection is not applicable","Selección de la dirección de envío no es aplicable"
"Shipping method selection is not applicable","Selección del método de envío no es aplicable"
"Show by","mostrar por"
"Show Report for","Mostrar Informe para"
"SKU","SKU"
"SKU:","SKU:"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Algunos artículos de esta orden tienen diferentes tipos de facturación y envío. Puede crear el envío sólo después de crear la factura."
"Sort Order","Orden de Clasificación"
"Spreadsheet Name:","Hoja de cálculo Nombre:"
"Staging Store: ","Estadificación de la tienda:"
"Staging Website: ","Staging Sitio web:"
"Start Date","Fecha de inicio"
"State/Province:","Estado / Provincia:"
"Status","estado"
"Status:","Estado:"
"Stock Quantity:","Cantidad de archivo :"
"Store:","de la tienda:"
"Store: ","de la tienda:"
"Subpackage","subpaquete"
"Subpackages","subpaquetes"
"Summary:","Resumen:"
"Switch/Solo card issue number: %s","Switch / Solo número de emisión de tarjetas :%s"
"Switch/Solo card start Date: %s/%s","Tarjetas Switch / Solo Fecha de inicio: %s / %s"
"Switch/Solo Only","Switch / Solo Solo"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch / Solo / Maestro (UK Domestic ) Número de expedición de la tarjeta :%s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch / Solo / Maestro (UK Domestic ) Tarjeta de inicio Fecha :%s / %s"
"Switch/Solo/Maestro(UK Domestic) Only","Switch / Solo / Maestro (UK Domestic ) Solo"
"The information in this tab has been changed.","La información en esta ficha ha sido cambiado ."
"This is a required field.","Este es un campo obligatorio ."
"This tab contains invalid data. Please solve the problem before saving.","Esta ficha contiene datos no válidos. Por favor, resolver el problema antes de guardar."
"Thumbnail","uña del pulgar"
"Time selection:","Selección de tiempo :"
"Time:","Hora:"
"To","a"
"to","a"
"Top 5 Search Terms","Top 5 Términos de búsqueda"
"Total %d records found","Total%d registros encontrados"
"Track order","orden de las pistas"
"Track this shipment","Seguir este envío"
"Type","tipo"
"Type:","Tipo :"
"Unable to login.","No se puede acceder ."
"Unselect All","Cancelar todas las selecciones"
"Unselect Visible","Deseleccionar Visible"
"Upgrade All Available Packages","Actualiza todos los paquetes disponibles"
"Upload Local File","Subir archivos locales"
"Upload local file:","Subir archivo local:"
"Use Default Value","Utilice Valor predeterminado"
"User","usuario"
"User Name","Nombre de usuario"
"User name","nombre de usuario"
"User Roles","funciones de usuario"
"Users","Usuarios"
"Value Delimiter:","Valor Delimitador :"
"Version:","Versión :"
"View","vista"
"View Statistics for","Ver Estadísticas para"
"Visibility:","Visibilidad:"
"Warning! Empty value can cause problems with CSV format.","Advertencia ! Valor vacío puede causar problemas con el formato CSV."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Advertencia rnThis acción eliminará a este usuario ya asignado rolernAre ¿Seguro ?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Advertencia rnThis acción eliminará dichos usuarios ya asignado rolesrnAre ¿Seguro ?"
"Web Services","Servicios Web"
"Web Services Configuration","Configuración de servicios web"
"Website: ","Sitio web:"
"Websites","Websites"
"Websites / Stores","Página web / Tiendas"
"What is this?","¿Qué es esto?"
"Yes","sí"
"You have","tienes"
"Your Account has been deactivated.","Su cuenta ha sido desactivada."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Su configuración de PHP de servidor le permite subir archivos de no más de %s en un momento . Modifique post_max_size (actualmente es%s ) y upload_max_filesize (actualmente es%s ) los valores definidos en php.ini si desea cargar archivos más grandes."
"Zip/Postal Code:","Zip / Código Postal :"
