"1 Day Freight","1 Día de flete"
"Next Day Air Early AM","Next Day Air Early AM"
"Next Day Air Early AM Letter","Next Day Early Aire AM Carta"
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra ( Puerto Rico )"
"Next Day Air Letter","Carta Air Next Day"
"Next Day Air Saver","Next Day Air Ahorro"
"Next Day Air Saver Letter","Next Day Air ahorro Carta"
"No","no"
" was not delivered nor scanned","no ha Sido despachado ni Escaneado"
"There is no available method for selected shipping address.","No hay ningún method available Para La Dirección de ENVIO Seleccionada ."
"Non-rectangular","No rectangular"
"Cannot retrieve shipping rates","De No se pudieron Obtener las Tarifas de Envío"
"Standard Overnight","Nocturno estándar"
"Sort order","Orden de clasificacion"
"Origin of the shipment","Orígenes del ENVÍO"
"Parcel","Paquete"
"Package","Paquete"
"FedEx Pak","Paquete de FedEx"
"Parcel Post","Paquete postal ( encomienda )"
"Order","Pedido"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Peso Máximo del Paquete ( please , CONSULTE un do Transporte Para La Carga soportada maxima)"
"Flat","Plana"
"Please make sure to use only digits here. No dashes are allowed.","Por favor, asegúrese de usar sólo dígitos aquí . No se permiten guiones."
"Please enter the package weight","Por favor , Ingrese el peso de Su Paquete"
"Pounds","Libras"
"First-Class","Primera Clase"
"International First","Primera internacional"
"Europe First Priority","Prioridad europea Primera"
"First Overnight","Primero nocturno"
"International Priority","Prioridad Internacional"
"Priority Overnight","nocturna Prioridad"
"Receiver","Recibe"
"Regular Pickup","Recolección periódica"
"Rectangular","rectangular"
"Regular","regular"
"Sender","Remitente"
"Residential","residencial"
"Residential Delivery","Entrega Residencial"
"Empty response","Respuesta Vacía"
"Round","ronda"
"Express Saturday","Sábado expreso"
"Yes","Sí"
"United Parcel Service","Servicio de empaque completo"
"Second Day Service","Servicio de Segundo dia"
"Shipment Contains Hazardous Materials","Envío contiene materiales peligrosos"
"Shipper Number","Número Shipper"
"FedEx Envelope","Sobre FedEx"
"Oversize","sobrepeso"
"Request Courier","Solicitar Courier"
"Your Packaging","Su Paquete"
"Subtotal","total parcial"
"Subtotal With Discount","Subtotal Con Descuento"
"Size","Tamano"
"Handling fee","Tasa de Embalaje y Envío"
"Title","Título"
"Third Party","Terceras contradictorio"
"Ground","Tierra"
"Destination type","Tipo de Destino"
"Shipment type","Tipo De Envío"
"Shipment Duty Payment Type","Tipo de Pago del ENVÍO"
"Invalid UPS CGI code type: %s","Tipo de Código inválido CGI de UPS :%s"
"Invalid DHL XML code type: %s","Tipo inválido de Código XML de DHL :%s"
"Invalid FedEx XML code type: %s","Tipo inválido de Código XML de FedEx :%s"
"Invalid USPS XML code type: %s","Tipo inválido de Código XML de USPS :%s"
"UPS type","Tipo UPS"
"To lower","Para bajar"
"To upper","Para superior"
"All Services","Todos los Servicios"
"FedEx Tube","Tubo de FedEx"
"Weight Unit","Unidad de peso"
"UPS","UPS"
"UPS Expedited","UPS apresurada"
"UPS Express","UPS expreso"
"UPS Express Box","UPS expresa Caja"
"UPS Express Early A.M.","UPS expresa Early A.M."
"UPS Express Plus","UPS Express Plus"
"UPS Ground","UPS Ground"
"UPS Letter Envelope","UPS sobre de la letra"
"UPS Next Day Air","UPS Next Day Air"
"UPS Next Day Air Early A.M.","UPS Next Day Air Early A.M."
"UPS Next Day Air Saver","UPS Next Day Air Ahorro"
"UPS Saver","UPS de ahorro"
"UPS Second Day Air","UPS Segundo Día del Aire"
"UPS Second Day Air A.M.","UPS Segundo Día del Aire A.M."
"UPS Standard","UPS estándar"
"UPS Three-Day Select","UPS Three- Day Select"
"UPS Today Dedicated Courrier","UPS Hoy Dedicado Courrier"
"UPS Today Express","UPS Hoy expreso"
"UPS Today Express Saver","Hoy UPS Express Saver"
"UPS Today Intercity","UPS Hoy Intercity"
"UPS Today Standard","Hoy UPS estándar"
"UPS Tube","Tube UPS"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"Gateway URL","URL de la pasarela"
"Tracking XML URL","URL del XML de Seguimiento"
"Gateway XML URL","XML URL de la pasarela"
"Used only when 'Additional Protection Value' is set to 'Configuration'. Can contain only numeric amount.","Sólo se utiliza al ' Valor Protección adicional ""se ajusta en "" Configuración "" . Puede contener única cantidad numérica."
"USPS","USPS"
"Variable","variable"
"Worldwide Expedited","acelerada Worldwide"
"Worldwide Express","Worldwide Express"
"Worldwide Express Letter","Worldwide Express Letter"
"Worldwide Express Plus","Worldwide Express Plus"
"Worldwide Express Plus Letter","Worldwide Express Plus Carta"
"Worldwide Express Saver","Worldwide Express Saver"
"United Parcel Service XML","XML de United Parcel Service"
