" and ","ja"
"Export","vienti"
"Export Filters","Vie Suodattimet"
"Export to:","Siirrä :"
"Export:","vienti :"
"Extension","laajentaminen"
"Extensions","Laajennukset"
"FTP Host[:Port]","FTP Host [ : portti]"
"Field Mapping","maastokartoituksista"
"File Information","Tiedoston tiedot"
"File name:","File name :"
"Final Price","lopullinen hinta"
"Finished items creation.","Valmiit tuotteet luomiseen ."
"First Name:","Etunimi:"
"For latest version visit: %s","Uusin versio osoitteessa : % s"
"From","Mista"
"General Settings","Yleiset asetukset"
"Get help for this page","Hanki tämän sivun ohje"
"Global Record Search","Global Record Haku"
"Go Today","Mene Tänään"
"Google Base Items","Google Base Tuotteet"
"Group:","RYHMÄ :"
"Help Us Keep Magento Healthy - Report All Bugs","Auta meitä pitämään Magento kunnossa - Ilmoita kaikki virheet"
"Ignore","sivuuttaa"
"Images","kuvat"
"Import","tuonti"
"Import Service","Import Service"
"In Database:","Tietokannassa :"
"In File:","File :"
"Inactive","toimeton"
"Incl. Tax","Verollinen"
"Include","sisällyttää"
"Installed As","asennetaan"
"Interactive","vuorovaikutteinen"
"Interface Locale: %s","Interface Kieliversio: % s"
"Invalid webservice adapter specified","Virheellinen WebServicen sovitin määritetty"
"Invalid webservice handler specified","Virheellinen WebServicen handler määritelty"
"Invoice History","lasku historia"
"Invoice Totals","lasku Summat"
"Issue Number","Asiakirjan numero"
"Issuer: %s","Issuer: % s"
"Items to merge","Kohteita yhdistää"
"Last 5 Orders","Viimeiset 5 Tilaukset"
"Last 5 Search Terms","Viimeiset 5 Etsintälause"
"Last Logged In (%s):","Viimeksi kirjautunut sisään ( % s ) :"
"Last Logged In:","Viimeksi kirjautunut :"
"Last Name:","Sukunimi :"
"Latest Message:","Uusin viesti :"
"Leave empty to use tax identifier","Jätä tyhjä, jotta vero tunniste"
"Level","taso"
"License:","Lisenssi :"
"Loading...","Ladataan ..."
"Local Server","paikallinen Server"
"Local/Remote Server","Paikallinen / Remote Server"
"Log Out","Kirjaudu ulos"
"Logged in as %s","Kirjautunut sisään % s"
"MS Excel XML","MS Excel XML"
"Magento Core Api","Magento Core Api"
"Magento Core Api Section","Magento Core Api jakso"
"Magento Logo","Magento Logo"
"Magento ver. %s","Magento ver. % s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento ™ ontavaramerkki Irubin Consulting Oy DBA Varien . <br/> Copyright © % s Irubin Consulting Oy"
"Maintainers","Ylläpitäjät"
"Manage Stores","Hallitse Stores"
"Mapping Configuration","kartoitus Configuration"
"Max","Max"
"Merge Now","Yhdistä nyt"
"Min","min"
"Module version conflict!","Moduuli versio konflikti !"
"N/A","N /"
"Name","nimi"
"Name on Card","Kortissa oleva nimi"
"Name on the Card: %s","Nimen Card: % s"
"Name:","nimi:"
"Next month (hold for menu)","Seuraava kuukausi (paina valikko)"
"Next page","Seuraava sivu"
"Next year (hold for menu)","Seuraava vuosi (paina valikko)"
"No","ei"
"No Data Found","Tietoja ei löytynyt"
"No search keywords.","Ei hakusanat ."
"Note:","Huom :"
"Notes:","Huomautuksia :"
"Number of records:","Tietueiden lukumäärä :"
"Old rate:","Vanha rate :"
"Only mapped fields","Vain kartoitettu kentät"
"Order Totals","Tilaa Summat"
"Order confirmation email not sent","Tilausvahvistus sähköpostitse ei lähetetty"
"Order confirmation email sent","Tilausvahvistuksen sähköposti lähetetään"
"Original Magento attribute names in first row:","Alkuperäinen Magento Yhdistän nimet ensimmäisellä rivillä :"
"Package","paketti"
"Package Information","paketin tiedot"
"Packages","paketit"
"Page","sivu"
"Passive mode","passiivisena"
"Password","salasana"
"Path","polku"
"Path:","polku :"
"PayPal Email","PayPal Sähköposti"
"Personal Information","Personal Information"
"Phone:","Puhelin :"
"Please confirm site switching. All data that hasn't been saved will be lost.","Ole hyvä ja vahvista sivuston kytkentä. Kaikki tiedot, joita ei ole tallennettu häviävät ."
"Please enter 6 or more characters.","Syötä 6 tai useampia merkkejä ."
"Please enter a number greater than 0 in this field.","Syötänumero on suurempi kuin 0 tällä alalla ."
"Please enter a valid $ amount. For example $100.00.","Anna kelvollinen $ määrän . Esimerkiksi 100,00 dollaria ."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Anna kelvollinen URL-osoite . Esimerkiksi http://www.example.com tai www.example.com"
"Please enter a valid URL. http:// is required","Anna kelvollinen URL-osoite . http:// tarvitaan"
"Please enter a valid credit card number.","Kirjoitavoimassa olevan luottokortin numeron ."
"Please enter a valid date.","Anna kelvollinen päivämäärä ."
"Please enter a valid email address. For example johndoe@domain.com.","Kirjoitavoimassa oleva sähköpostiosoite . Esimerkiksi johndoe@domain.com ."
"Please enter a valid number in this field.","Anna kelvollinen numero tällä alalla ."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Kirjoitavoimassa oleva puhelinnumero . Esimerkiksi (123) 456-7890 tai 123-456-7890 ."
"Please enter a valid social security number. For example 123-45-6789.","Anna kelvollinen sosiaaliturvatunnus . Esimerkiksi 123-45-6789 ."
"Please enter a valid value from list","Anna kelvollinen arvo listalta"
"Please enter a valid value, ex: 10,20,30","Anna kelvollinen arvo , ex : 10,20,30"
"Please enter a valid zip code.","Anna kelvollinen postinumero ."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Anna kelvollinen postinumero . Esimerkiksi 90602 tai 90602-1234 ."
"Please enter valid password.","Anna oikea salasana ."
"Please make sure that your changes were saved before running the profile.","Varmista , että muutokset on tallennettu ennen käynnissäprofiilia ."
"Please make sure your passwords match.","Ole hyvä ja varmista, että salasanat täsmää."
"Please select State/Province.","Valitse osavaltio / maakunta ."
"Please select an option.","Valitse vaihtoehto ."
"Please select one of the above options.","Valitse yksiedellä mainituista vaihtoehdoista ."
"Please select one of the options.","Valitse yksivaihtoehdoista ."
"Please use in this field only ""a-z,0-9,_"".","Käytä tällä alalla vain ""- z ,0 - 9 , _ "" ."
"Please use letters only (a-z) in this field.","Käytä kirjaimia ( a-z ) tällä alalla ."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Käytä vain numeroita tällä alalla . vältä välilyöntejä tai muita merkkejä , kuten pisteitä tai pilkkuja ."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Käytä ainoastaan ​​kirjaimia ( az ) , numeroita ( 0-9 ) vain tällä alalla . Älä käytä välilyöntejä tai muita merkkejä ovat sallittuja ."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Käytä ainoastaan ​​kirjaimia ( az ) , numeroita ( 0-9 ) tai välilyöntejä ja # vain tällä alalla ."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Käytä tämän päivämäärän muodossa: pp / kk / vvvv . Esimerkiksi 17/03/2006 varten 17. maaliskuuta, 2006."
"Please wait, loading...","Odota , ladataan ..."
"Please, select a store view","Ole hyvä , valitsemyymälä näkymä"
"Prev. month (hold for menu)","Edellinen . kuukausi (paina valikko)"
"Prev. year (hold for menu)","Edellinen . vuosi (paina valikko)"
"Previous page","Edellinen"
"Price","hinta"
"Price:","Hinta :"
"Primary Billing Address","Laskutusosoitteen"
"Processed <strong>%s%% %s/%d</strong> items","Jalostettu <strong> % s % % % s / % d < / strong > tuotteet"
"Product","tuote"
"Products","tuotteet"
"Profile Information","profiilin tiedot"
"Provided Files","edellyttäen tiedostot"
"Qty","Määrä"
"Read details","Lue lisätietoja"
"Recommended","suositeltava"
"Remote FTP","FTP"
"Remote URL:","Kauko URL :"
"Remove","poistaa"
"Resource Access","Resource Access"
"Resources","resurssit"
"Role","rooli"
"Role Users","rooli Käyttäjät"
"Roles","roolit"
"Roles Resources","roolit Resurssit"
"SKU","SKU"
"SKU:","SKU :"
"Schedule Merge","aikataulu Merge"
"Select All","Valitse kaikki"
"Select Date","Valitse Päivämäärä"
"Select Range","Valitse alue"
"Select Visible","Valitse Visible"
"Select date","Valitse päivämäärä"
"Select website from map","Valitse sivuston kartta"
"Select website to map","Valitse sivuston kartta"
"Shipment Comments","Lähetyksen Kommentit"
"Shipment History","Lähetyksen historia"
"Shipping Address","toimitusosoite"
"Shipping address selection is not applicable","Toimitusosoite valinta ei sovelleta"
"Shipping method selection is not applicable","Toimitustapa valinta ei sovelleta"
"Show Report for","Näytä raportti"
"Show by","näytetään"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Jotkut kohteet tässä järjestyksessä on eri lasku ja siirron tyyppejä. Voit luoda siirtoa vasta sen jälkeenlasku luodaan ."
"Sort Order","Lajittelujärjestys"
"Spreadsheet Name:","Taulukkolaskenta Nimi:"
"Staging Store: ","Lavastus Store :"
"Staging Website: ","Lavastus Verkkosivusto :"
"Start Date","Aloituspäivä"
"State/Province:","Osavaltio / maakunta:"
"Status","tila"
"Status:","status :"
"Stock Quantity:","Varastossa Määrä :"
"Store:","Store :"
"Store: ","Store :"
"Subpackage","alipaketin"
"Subpackages","Subpackages"
"Summary:","Yhteenveto :"
"Switch/Solo Only","Switch / Solo Vain"
"Switch/Solo card issue number: %s","Switch / Solo kortin numero : % s"
"Switch/Solo card start Date: %s/%s","Switch / Solo kortti alkupäivämäärän : % s / % s"
"Switch/Solo/Maestro(UK Domestic) Only","Switch / Solo / Maestro ( UK Domestic ) Vain"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch / Solo / Maestro ( UK Domestic ) kortin numero : % s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch / Solo / Maestro ( UK Domestic ) kortti alkupäivämäärän : % s / % s"
"The information in this tab has been changed.","Tiedot tässä välilehdessä on muutettu ."
"This is a required field.","Tämä on pakollinen kenttä ."
"This tab contains invalid data. Please solve the problem before saving.","Tämä välilehti sisältää virheellisiä tietoja. Ole hyvä ja ratkaistaongelman ennen tallentamista ."
"Thumbnail","thumbnail"
"Time selection:","Ajan valinta :"
"Time:","aika :"
"To","Jos haluat"
"Top 5 Search Terms","Viisi suosituinta hakutermiä"
"Total %d records found","Yhteensä% d löydy"
"Track order","Tilausseuranta"
"Track this shipment","Seuraa tätä siirtoa"
"Type","tyyppi"
"Type:","tyyppi:"
"Unable to login.","Pysty kirjautumaan sisään."
"Unselect All","Poista kaikki"
"Unselect Visible","unselect Näkyvä"
"Upgrade All Available Packages","Päivitys paketeista"
"Upload Local File","Lähetä Paikallinen tiedosto"
"Upload local file:","Lähetä paikalliseen tiedostoon :"
"Use Default Value","Käytä Oletusarvo"
"User","käyttäjä"
"User Name","käyttäjätunnus"
"User Roles","käyttäjän roolit"
"User name","käyttäjätunnus"
"Users","käyttäjät"
"Value Delimiter:","Arvo Rajamerkki :"
"Version:","versio :"
"View","näkymä"
"View Statistics for","Katso Tilastot"
"Visibility:","Näkyvyys :"
"Warning! Empty value can cause problems with CSV format.","Varoitus ! Tyhjä arvo voi aiheuttaa ongelmia CSV-muodossa ."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Varoitus ! RnThis toimia poistaa tämän käyttäjän jo valittu rolernAre Oletko varma ?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Varoitus ! RnThis toimiin poistaa nämä käyttäjiä jo valittu rolesrnAre Oletko varma ?"
"Web Services","Web Services"
"Web Services Configuration","Web Services - ASETUKSET"
"Website: ","Kotisivu:"
"Websites","sivustot"
"Websites / Stores","Sivustot / Kaupat"
"What is this?","Mikä tämä on ?"
"Yes","kyllä"
"You have","sinulla on"
"Your Account has been deactivated.","Tilisi on poistettu käytöstä ."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Palvelimesi PHP - ASETUKSET sallivat sinun siirtävän turhaan % s tiedostoa kerrallaan . Muokkaa post_max_size ( tämänhetkinen asetus : % s ) Ja upload_max_filesize ( tämänhetkinen asetus : % s ) arvoja php.ini - tiedostossa , Jos haluat siirtää suurempia tiedostoja ."
"Zip/Postal Code:","Zip / Postal Code :"
"critical","kriittinen"
"images/logo.gif","images / logo.gif"
"items selected","valittuja kohteita"
"major","merkittävä"
"md5sum","md5sum"
"minor","vähäinen"
"notice","ilmoitus"
"of %s pages","% s sivua "
"or","tai "
"per page","per sivu "
"to","to"
