" and ","og"
"Last 5 Search Terms","Siste 5 Søkeord"
"Last Logged In (%s):","Sist logget inn ( %s ) :"
"Last Logged In:","Sist logget inn :"
"Last Name:","Etternavn :"
"Latest Message:","Siste melding:"
"Leave empty to use tax identifier","La stå tomt for å bruke skatte identifikator"
"Level","nivå"
"License:","lisens:"
"Loading...","Loading ..."
"Local Server","lokal Server"
"Local/Remote Server","Lokal / ekstern server"
"Log Out","Logg av"
"Logged in as %s","Logget inn som %s"
"Magento Core Api","Magento Kjerne Api"
"Magento Core Api Section","Magento Kjerne Api Seksjon"
"Magento Logo","Magento Logo"
"Magento ver. %s","Magento ver. %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento ™ er et varemerke for Irubin Consulting Inc. DBA Varien . <br/> Copyright © %s Irubin Consulting Inc."
"Maintainers","Maintainers"
"major","store"
"Manage Stores","Administrer Stores"
"Mapping Configuration","kartlegging Configuration"
"Max","Max"
"md5sum","md5sum"
"Merge Now","Flett nå"
"Min","min"
"minor","minor"
"Module version conflict!","Modulversjon konflikt !"
"MS Excel XML","MS Excel XML"
"N/A","N / A"
"Name","navn"
"Name on Card","Navn på kortet"
"Name on the Card: %s","Navnet på kortet : %s"
"Name:","navn :"
"Next month (hold for menu)","Neste måned (hold for meny)"
"Next page","Neste side"
"Next year (hold for menu)","Neste år (hold for meny)"
"No","Nei"
"No Data Found","Ingen data funnet"
"No search keywords.","Ingen søkeordene."
"Note:","Merk :"
"Notes:","Merknader :"
"notice","varsel"
"Number of records:","Antall poster :"
"of %s pages","av %s sider"
"Old rate:","Gammel sats :"
"Only mapped fields","Bare kartlagt felt"
"or","eller"
"Order confirmation email not sent","Bestill e-postbekreftelse ikke sendt"
"Order confirmation email sent","Ordrebekreftelse e-post sendt"
"Order Totals","Bestill Totals"
"Original Magento attribute names in first row:","Original Magento egenskapsnavn i første rad :"
"Package","pakke"
"Package Information","pakke Informasjon"
"Packages","pakker"
"Page","Side"
"Passive mode","passiv modus"
"Password","passord"
"Path","sti"
"Path:","sti :"
"PayPal Email","PayPal Email"
"per page","per side"
"Personal Information","Personlig informasjon"
"Phone:","Telefon :"
"Please confirm site switching. All data that hasn't been saved will be lost.","Vennligst bekreft nettstedet veksling. Alle data som ikke er lagret , vil gå tapt ."
"Please enter 6 or more characters.","Fyll inn seks eller flere tegn ."
"Please enter a number greater than 0 in this field.","Vennligst skriv inn et tall som er høyere enn 0 i dette feltet ."
"Please enter a valid $ amount. For example $100.00.","Vennligst skriv inn en gyldig $ beløp . For eksempel $ 100,00 ."
"Please enter a valid credit card number.","Vennligst skriv inn en gyldig kredittkortnummer ."
"Please enter a valid date.","Vennligst skriv inn en gyldig dato ."
"Please enter a valid email address. For example johndoe@domain.com.","Vennligst skriv inn en gyldig e-postadresse. For eksempel johndoe@domain.com ."
"Please enter a valid number in this field.","Vennligst skriv inn et gyldig nummer i dette feltet ."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Vennligst skriv inn et gyldig telefonnummer . For eksempel (123) 456-7890 eller 123-456-7890 ."
"Please enter a valid social security number. For example 123-45-6789.","Vennligst skriv inn et gyldig personnummer. For eksempel 123-45-6789 ."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Vennligst skriv inn en gyldig URL. For eksempel http://www.example.com eller www.example.com"
"Please enter a valid URL. http:// is required","Vennligst skriv inn en gyldig URL. http:// er nødvendig"
"Please enter a valid value from list","Vennligst skriv inn en gyldig verdi fra listen"
"Please enter a valid value, ex: 10,20,30","Vennligst skriv inn en gyldig verdi , ex : 10,20,30"
"Please enter a valid zip code.","Vennligst skriv inn et gyldig postnummer ."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Vennligst skriv inn et gyldig postnummer . For eksempel 90602 eller 90602-1234 ."
"Please enter valid password.","Fyll inn gyldig passord ."
"Please make sure that your changes were saved before running the profile.","Vennligst sørg for at endringene ble lagret før du kjører profilen ."
"Please make sure your passwords match.","Vennligst sørg for at dine passord matche ."
"Please select an option.","Vennligst velg et alternativ."
"Please select one of the above options.","Vennligst velg en av de ovennevnte alternativene ."
"Please select one of the options.","Vennligst velg ett av alternativene ."
"Please select State/Province.","Vennligst velg Stat / provins ."
"Please use in this field only ""a-z,0-9,_"".","Vennligst bruk på dette feltet bare "" a- z ,0 - 9 , _"" ."
"Please use letters only (a-z) in this field.","Vennligst bruke bokstaver bare ( a- z ) i dette feltet ."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Vennligst bruke tall bare i dette feltet . Vennligst unngå mellomrom eller andre tegn som prikker eller komma ."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Bruk kun bokstaver (az) eller tall ( 0-9) bare i dette feltet . Ingen mellomrom eller andre tegn er tillatt ."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Bruk kun bokstaver (az) eller tall ( 0-9 ) eller mellomrom og # bare i dette feltet ."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Vennligst bruk denne datoen format: dd / mm / åååå . For eksempel 17.03.2006 for 17. March, 2006."
"Please wait, loading...","Vennligst vent , lasting ..."
"Please, select a store view","Vennligst velg en butikk visning"
"Prev. month (hold for menu)","Prev . måned (hold for meny)"
"Prev. year (hold for menu)","Prev . år (hold for meny)"
"Previous page","Forrige side"
"Price","Pris"
"Price:","Pris :"
"Primary Billing Address","Primær Fakturaadresse"
"Processed <strong>%s%% %s/%d</strong> items","Bearbeidet <strong> %s % % %s / %d < / strong > elementer"
"Product","produkt"
"Products","produkter"
"Profile Information","Profilinformasjon"
"Provided Files","Forut filer"
"Qty","Antall"
"Read details","Les detaljer"
"Recommended","anbefalt"
"Remote FTP","Remote FTP"
"Remote URL:","Ekstern URL:"
"Remove","Fjern"
"Resource Access","ressurstilgang"
"Resources","ressurser"
"Role","rolle"
"Role Users","rolle brukere"
"Roles","roller"
"Roles Resources","roller Resources"
"Schedule Merge","Planlegg Merge"
"Select All","Velg alle"
"Select date","Velg dato"
"Select Date","Velg dato"
"Select Range","Velg Range"
"Select Visible","Velg Synlig"
"Select website from map","Velg nettsted fra kartet"
"Select website to map","Velg nettsted for å kartlegge"
"Shipment Comments","forsendelse Kommentarer"
"Shipment History","forsendelse Historie"
"Shipping Address","Leveringsadresse"
"Shipping address selection is not applicable","Leveringsadresse utvalget er ikke aktuelt"
"Shipping method selection is not applicable","Shipping metodevalg er ikke aktuelt"
"Show by","Vis etter"
"Show Report for","Vis rapport for"
"SKU","SKU"
"SKU:","SKU :"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Noen elementer i denne rekkefølgen har ulike faktura og forsendelse typer. Du kan opprette forsendelsen kun etter at fakturaen er opprettet ."
"Sort Order","sorteringsrekkefølgen"
"Spreadsheet Name:","Regneark Navn :"
"Staging Store: ","Staging Store:"
"Staging Website: ","Staging Hjemmeside:"
"Start Date","startdato"
"State/Province:","Stat / provins :"
"Status","status"
"Status:","status :"
"Stock Quantity:","Lager Antall :"
"Store:","Store:"
"Store: ","Store:"
"Subpackage","Subpackage"
"Subpackages","Subpackages"
"Summary:","Oppsummering :"
"Switch/Solo card issue number: %s","Switch / Solo kortet problemet nummer : %s"
"Switch/Solo card start Date: %s/%s","Switch / Solo kort start Dato : %s / %s"
"Switch/Solo Only","Switch / Solo Only"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch / Solo / Maestro (UK Domestic ) kortet problemet nummer:%s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch / Solo / Maestro (UK Domestic ) kort start Dato : %s / %s"
"Switch/Solo/Maestro(UK Domestic) Only","Switch / Solo / Maestro (UK Domestic ) Only"
"The information in this tab has been changed.","Informasjonen i denne kategorien er endret ."
"This is a required field.","Dette er et obligatorisk felt ."
"This tab contains invalid data. Please solve the problem before saving.","Denne kategorien inneholder ugyldige data . Vennligst løse problemet før du lagrer ."
"Thumbnail","thumbnail"
"Time selection:","Tid utvalg :"
"Time:","tid :"
"To","å"
"to","til"
"Top 5 Search Terms","Topp 5 Søkeord"
"Total %d records found","Totalt %d elementer funnet"
"Track order","spor ordre"
"Track this shipment","Spor dette forsendelse"
"Type","Type"
"Type:","Type :"
"Unable to login.","Kan ikke logge deg inn ."
"Unselect All","Fjern all merking"
"Unselect Visible","Opphev merking Synlig"
"Upgrade All Available Packages","Oppgrader Alle tilgjengelige pakker"
"Upload Local File","Last Lokal fil"
"Upload local file:","Last opp lokal fil :"
"Use Default Value","Bruk standardverdi"
"User","Bruker"
"User Name","brukernavn"
"User name","brukernavn"
"User Roles","brukerroller"
"Users","brukere"
"Value Delimiter:","Verdi Skilletegn :"
"Version:","versjon :"
"View","Vis"
"View Statistics for","Vis Statistikk for"
"Visibility:","Sikt :"
"Warning! Empty value can cause problems with CSV format.","Advarsel ! Tom verdi kan føre til problemer med CSV -format ."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Advarsel ! RnDette handlingen vil fjerne denne brukeren fra allerede tildelt rolernAre du sikker ?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Advarsel ! RnDette handlingen vil fjerne disse brukerne fra allerede tildelt rolesrnAre du sikker ?"
"Web Services","web Services"
"Web Services Configuration","Web Services Configuration"
"Website: ","hjemmeside :"
"Websites","Nettsider"
"Websites / Stores","Nettsider / butikker"
"What is this?","Hva er dette ?"
"Yes","Ja"
"You have","du har"
"Your Account has been deactivated.","Din konto har blitt deaktivert ."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Server PHP-innstillinger lar deg laste opp filer ikke flere enn %s om gangen . Vennligst endre post_max_size (for tiden er %s ) og upload_max_filesize (for tiden er %s ) verdier i php.ini hvis du ønsker å laste opp større filer ."
"Zip/Postal Code:","Zip / Postal Code:"
