"The ""manage_stock"" field must be set to 0 or 1.","Den "" manage_stock "" feltet må være satt til 0 eller 1. ."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","Den "" stock_status_changed_auto "" feltet må være satt til 0 eller 1. ."
"The ""use_config_backorders"" field must be set to 0 or 1.","Den "" use_config_backorders "" feltet må være satt til 0 eller 1. ."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","Den "" use_config_enable_qty_inc "" feltet må være satt til 0 eller 1. ."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","Den "" use_config_manage_stock "" feltet må være satt til 0 eller 1. ."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","Den "" use_config_max_sale_qty "" feltet må være satt til 0 eller 1. ."
"The ""use_config_min_qty"" field must be set to 0 or 1.","Den "" use_config_min_qty "" feltet må være satt til 0 eller 1. ."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","Den "" use_config_min_sale_qty "" feltet må være satt til 0 eller 1. ."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","Den "" use_config_notify_stock_qty "" feltet må være satt til 0 eller 1. ."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","Den "" use_config_qty_increments "" feltet må være satt til 0 eller 1. ."
"The attribute rules were saved.","Attributt reglene ble reddet ."
"The role has been saved.","Den rollen har blitt lagret ."
"The role is a special one and not for assigning it to admin users.","Rollen er en spesiell en, og ikke for å tildele det til admin brukere ."
"Total Due","Total Due"
"Total Paid","totalt Betalt"
"Total Refunded","totalt Refundert"
"Total Reviews Count","Totalt Anmeldelser Count"
"Type","Type"
"URL","URL"
"Update","Oppdater"
"Use Config Settings for Allow Gift Message","Bruk settinger for Tillat Gift melding"
"Use Config Settings for Allow Gift Wrapping","Bruk Innstillinger Config for Tillat Gift Wrapping"
"Use Config Settings for Backorders","Bruk Innstillinger Config for Restordrer"
"Use Config Settings for Enable Qty Increments","Bruk Innstillinger Config for Aktiver Antall intervaller"
"Use Config Settings for Manage Stock","Bruk Innstillinger Config for Administrer Stock"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Bruk Innstillinger Config for maksimal Antall tillatt i handlekurven"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Bruk Innstillinger Config for Minimum Antall tillatt i handlekurven"
"Use Config Settings for Notify for Quantity Below","Bruk Innstillinger Config for Varsle for Antall Nedenfor"
"Use Config Settings for Qty Increments","Bruk Innstillinger Config for Antall intervaller"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Bruk Config Innstillinger for Antall for elements status til å bli på lager"
"User Type","Brukertype"
"User type ""%s"" no longer exists","Bruker type "" %s "" eksisterer ikke lenger"
"User type ""%s"" not found.","Bruker type "" %s "" ikke funnet ."
"Web Services","web Services"
"Web services","webtjenester"
"Write","Skriv"
"ZIP/Postal Code","ZIP / Postal"
