"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' ist zu lang. Es muss eine Länge %min% Symbole."
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' ist zu kurz. Es muss eine Länge %min% Symbole."
"* Required Fields","* Pflichtangaben"
"Confirm OAuth token authorization","Bestätigen OAuth-Token-Autorisierung"
"Confirm token authorization Pop Up for admin","Confirm token authorization Pop Up for admin"
"Confirm token authorization for admin","Bestätigen Token-Autorisierung Pop Up für Admin"
"Confirmation Of Authorization","Bestätigung der Zulassung"
"Consumer Information","Verbraucherinformation"
"Consumer Name","Verbraucher Namen"
"Consumers","Verbraucher"
"Created At","Erstellt am"
"Customer","Kunde"
"Customer My Account My OAuth Applications","Kunden Mein Konto Mein OAuth Anwendungen"
"Delete","löschen"
"Disable","Deaktivieren"
"Disabled","behindert"
"Edit","Bearbeiten"
"Edit Consumer","Verbraucher bearbeiten"
"Email","E-Mail"
"Email Address","E-Mail-Adresse"
"Enable","ermöglichen"
"Enabled","Aktiviert"
"Entry with ID #%s not found.","Eintritt mit ID #%s nicht gefunden."
"Expiration Period","Ablaufdauer"
"Give the verifier code to application administrator","Geben Sie den Code, um Gutachter Anwendungsadministrator"
"ID","ID"
"Invalid Callback URL","Ungültige Callback URL"
"Invalid ID parameter.","Ungültige ID-Parameter."
"Invalid Rejected Callback URL","Ungültige Abgelehnt Callback URL"
"Invalid entry ID.","Ungültige Eingabe ID."
"Invalid revoke status.","Ungültige Widerruf Status."
"Key","Schlüssel"
"Log In","Anmelden"
"Log in as a customer","Melden Sie sich als Kunde"
"Log in as admin","Melden Sie sich als Administrator"
"Log in as customer","Melden Sie sich als Kunde"
"Log in to use <strong>%s</strong>","Einloggen, um zu verwenden <strong>%s</strong>"
"Login","Anmelden"
"My Applications","Meine Anwendungen"
"Name","Name"
"New Consumer","Neue Verbraucher"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth Admin Meine Apps"
"OAuth Authorized Tokens","OAuth-Token Autorisierte"
"OAuth Consumers","OAuth Verbraucher"
"OAuth authorization Pop Up for customer","OAuth Genehmigung Pop Up für Kunden"
"OAuth authorization for admin","OAuth-Autorisierung für den Admin"
"OAuth authorization for customer","OAuth-Autorisierung für Kunden"
"OAuth authorization simple for admin","OAuth-Autorisierung einfach für Admin"
"Password","Passwort"
"Permissions","Berechtigungen"
"Please login to proceed authorization.","Bitte loggen Sie sich ein, um Genehmigung fortzufahren."
"Please select needed row(s).","Bitte wählen Sie benötigt Zeile (n)."
"Please select revoke status.","Bitte wählen Widerruf Status."
"REST - My Apps","REST - Meine Apps"
"REST - OAuth Authorized Tokens","REST - OAuth Authorized Tokens"
"REST - OAuth Consumers","REST - OAuth Verbraucher"
"Reject","ablehnen"
"Reject OAuth token authorization","Ablehnen OAuth Token-Autorisierung"
"Reject authorization","Ablehnen Genehmigung"
"Reject token authorization Pop Up for admin","Ablehnen Token-Autorisierung Pop Up für Admin"
"Reject token authorization for admin","Ablehnen Token-Autorisierung für den Admin"
"Rejected Callback URL","Abgelehnt Callback URL"
"Rejection Of Authorization","Die Ablehnung der Zulassung"
"Revoked","widerrufen"
"Role Name","Rollenname"
"Save","sparen"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Secret","Geheimnis"
"Selected entries enabled.","Ausgewählte Einträge aktiviert."
"Selected entries has been deleted.","Ausgewählte Einträge gelöscht wurde."
"Selected entries revoked.","Ausgewählte Einträge widerrufen."
"Status","Status"
"System","System"
"The application access request is rejected.","Die Anwendung Zugriffsanforderung abgelehnt."
"The consumer has been deleted.","Der Verbraucher wurde gelöscht."
"The consumer has been saved.","Der Verbraucher wurde gespeichert."
"Token Status Change","Token Statusänderung"
"Token Status Change Email Template","Token Status ändern und E-Mail-Vorlage"
"Unable to find a consumer.","Kann ein Verbraucher zu finden."
"User ID","Benutzer-ID"
"User Name","Benutzername"
"User Type","Benutzertyp"
"Verifier code: %s","Code Verifier: %s"
"You have no applications.","Sie haben keine Anwendungen."
"deleted","gelöscht"
"enabled","aktiviert"
"revoked","widerrufen"
