Add Text,Legg til navn
Please note that: Converting to cash is not allowed. You can use the Gift card code or redeem it to credit balance to pay for your order at http://78.129.130.249/~vaktromm,Vær oppmerksom på at: Konvertering til kontanter er ikke tillatt. Du kan bruke gavekortet koden eller innløse det til tilgodehavende å betale for din bestilling på http://78.129.130.249/~vaktromm
Recommended size: ,Anbefalt størrelse:
Support gif,Support gif
png files,png filer
Or upload your photo,Eller last opp dine bilder
Sender name (optional):,Avsenders navn (valgfritt):
Recipient name:,Mottakers navn:
Recipient email address:,Mottakers e-postadresse:
Send through post office,Send gjennom postkontor
You need to fill in your friend's address as the shipping address on checkout page. We will send this Gift Card to that address.,Du må fylle inn din venns adresse som leveringsadresse på kassen. Vi vil sende dette gavekortet til denne adressen.
Custom message,Custom melding
Characters Remaining: ,Tegn som gjenstår:
Get notification email when your friend receives Gift Card,Få e-postmelding når din bekjent mottar gavekort
Day to send,Dag for å sende
Preview Gift Card,Forhåndsvisning Gavekort
Value,Verdi
Available PMS codes,Klikk her for flere farger
You have selected,Du har valgt
color,farge
Thank you for registering with %s.,Takk for at du registrerte deg hos %s.
You are now logged out,Du har nå logget ut.
You have logged out and will be redirected to our homepage in 5 seconds.,Du vil bli videresendt til startsiden innen 5 sekunder.
FAQ,Spørsmål & Svar
More Info.,Les mer
Frequently Asked Question,Spørsmål & Svar
Login,Logg inn
You have selected ,Du har valgt
pattern,mønster
If there is an account associated with %s you will receive an email with a link to reset your password.,Hvis det er en konto tilknyttet %s vil du motta en e-post med en link for å tilbakestille passordet ditt.
Please choose Scissor color.,Velg farge på saksen.
Please choose Pen color.,Velg farge på pen.
Please choose Penlight color.,Velg farge på pupillelykt.
Please choose Tweezers color.,Velg farge på pinsett.
Coupon code "%s" was applied.,Rabattkode %s ble aktivisert
Company Log in,Bedrift logg inn
"Note that white font on light background colors and black font on dark background colors can be difficult to read. In addition, the colors of the badge can differ slightly from the colors on the screen.","Gjør oppmerksom på at hvit skrift på lyse bakgrunnsfarger og sort skrift på  mørke bakgrunnsfarger kan være vanskelig å lese. I tillegg kan fargene på skiltet avvike litt i forhold til fargene på skjermen."
